IP,Region,Ping (ms),Upload (Mbps),Download (Mbps),Port,TLS,ASN
64.110.70.113,South Korea,32,316.25,342.67,443,True,31898
132.226.173.100,South Korea,33,479.34,283.40,443,True,31898
152.70.255.71,South Korea,34,429.94,328.79,443,True,31898
130.162.158.235,South Korea,34,471.33,398.24,443,True,31898
150.230.249.48,South Korea,35,446.49,330.17,443,True,31898
193.122.115.35,South Korea,36,451.24,277.82,443,True,31898
144.24.65.251,South Korea,36,417.30,294.64,443,True,31898
129.154.207.203,South Korea,36,496.52,307.12,443,True,31898
152.70.240.114,South Korea,36,451.67,350.97,443,True,31898
140.238.26.204,South Korea,36,460.93,388.29,443,True,31898
129.154.223.34,South Korea,37,459.08,383.00,443,True,31898
158.180.82.203,South Korea,38,406.93,313.51,8443,True,31898
158.180.70.167,South Korea,38,383.42,293.39,443,True,31898
129.154.62.103,South Korea,39,508.79,375.67,443,True,31898
152.67.221.249,South Korea,39,388.78,263.10,443,True,31898
146.56.167.222,South Korea,39,526.30,356.51,443,True,31898
132.145.94.80,South Korea,39,315.59,391.35,443,True,31898
152.69.232.178,South Korea,39,483.26,409.84,443,True,31898
131.186.30.132,South Korea,40,411.62,316.91,443,True,31898
152.69.225.218,South Korea,40,480.65,385.20,443,True,31898
146.56.189.125,South Korea,40,401.61,380.02,443,True,31898
138.2.113.190,South Korea,41,394.49,339.71,443,True,31898
193.122.117.74,South Korea,41,414.94,407.62,443,True,31898
64.110.75.145,South Korea,41,401.10,386.82,443,True,31898
131.186.27.112,South Korea,42,417.63,343.50,2096,True,31898
193.122.114.82,South Korea,42,359.89,334.10,443,True,31898
131.186.25.156,South Korea,42,388.14,338.67,2087,True,31898
158.180.87.223,South Korea,42,435.43,308.30,443,True,31898
131.186.31.27,South Korea,42,397.94,328.05,443,True,31898
152.67.203.153,South Korea,43,444.48,320.81,443,True,31898
193.122.125.223,South Korea,43,392.23,380.01,443,True,31898
158.180.82.186,South Korea,43,396.33,362.55,80,False,31898
64.110.77.230,South Korea,43,535.36,377.65,443,True,31898
193.123.225.237,South Korea,43,488.58,248.17,443,True,31898
152.70.249.121,South Korea,43,464.30,363.01,443,True,31898
152.67.203.34,South Korea,43,406.54,230.69,443,True,31898
130.162.156.42,South Korea,43,371.63,331.35,443,True,31898
132.226.238.73,South Korea,43,436.72,336.09,443,True,31898
152.67.220.96,South Korea,44,365.14,351.44,443,True,31898
132.226.18.98,South Korea,44,410.38,306.33,443,True,31898
152.70.243.126,South Korea,44,328.83,399.32,443,True,31898
130.162.144.191,South Korea,44,410.91,376.07,443,True,31898
130.162.145.242,South Korea,45,334.46,402.64,443,True,31898
130.162.130.105,South Korea,45,414.78,408.72,443,True,31898
193.122.124.215,South Korea,45,530.71,347.18,8443,True,31898
64.110.79.188,South Korea,45,388.00,367.68,443,True,31898
193.122.97.243,South Korea,46,491.53,392.61,443,True,31898
152.69.232.78,South Korea,46,470.07,319.87,443,True,31898
146.56.103.217,South Korea,47,427.69,334.91,443,True,31898
132.145.88.112,South Korea,47,440.97,292.08,8080,False,31898
146.56.135.107,South Korea,47,433.62,344.15,443,True,31898
132.226.17.151,South Korea,47,384.73,404.93,443,True,31898
132.226.169.230,South Korea,47,427.64,295.10,443,True,31898
64.110.87.235,South Korea,47,479.18,393.32,443,True,31898
152.70.253.44,South Korea,48,431.68,346.86,443,True,31898
140.238.7.194,South Korea,48,448.32,301.12,443,True,31898
193.122.112.179,South Korea,48,408.79,346.59,443,True,31898
158.180.95.197,South Korea,48,397.54,323.49,443,True,31898
131.186.17.132,South Korea,48,412.23,337.29,443,True,31898
132.145.81.117,South Korea,48,496.53,340.43,443,True,31898
129.154.202.229,South Korea,48,428.29,366.61,8443,True,31898
152.70.251.7,South Korea,49,440.82,335.91,443,True,31898
